Main food description,GCAM,Energy (kcal),Protein (g),Carbohydrate (g),"Sugars, total
(g)","Fiber, total dietary (g)",Total Fat (g),"Fatty acids, total saturated (g)","Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)",Cholesterol (mg),Retinol (mcg),"Vitamin A, RAE (mcg_RAE)","Carotene, alpha (mcg)","Carotene, beta (mcg)","Cryptoxanthin, beta (mcg)",Lycopene (mcg),Lutein + zeaxanthin (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),Folic acid (mcg),"Folate, food (mcg)","Folate, DFE (mcg_DFE)","Folate, total (mcg)","Choline, total (mg)",Vitamin B-12 (mcg),"Vitamin B-12, added
(mcg)",Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Vitamin E (alpha-tocopherol) (mg),"Vitamin E, added
(mg)",Vitamin K (phylloquinone) (mcg),Calcium (mg),Phosphorus (mg),Magnesium (mg),"Iron
(mg)","Zinc
(mg)",Copper (mg),Selenium (mcg),Potassium (mg),Sodium (mg),Caffeine (mg),Theobromine (mg),Alcohol (g),"4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Water
(g)"
"Chicken leg, drumstick and thigh, stewed, skin not eaten",Poultry,164,24.1,0,0,0,7.5,2.031,2.986,1.418,134,8,8,0,0,0,0,0,0.087,0.18,5.422,0.407,0,5,5,5,69.2,0.41,0,0,0.2,0.17,0,0.3,12,193,24,1.13,2.12,0.054,28.5,253,399,0,0,0,0.001,0.002,0.002,0,0.004,0.039,1.536,0.425,0.45,2.491,0.028,0.001,1.223,0.06,0.001,0.083,0.007,0.007,0.004,67.54
"Chicken leg, drumstick and thigh, grilled without sauce, skin eaten",Poultry,228,22.65,0,0,0,14.52,3.737,6.07,3.356,128,14,14,0,0,0,0,14,0.087,0.19,5.479,0.391,0,4,4,4,65.8,0.41,0,0,0.2,0.51,0,5.3,10,202,21,1.06,1.93,0.064,25.2,244,414,0,0,0,0.001,0.001,0.002,0.002,0.007,0.071,2.867,0.728,0.78,5.171,0.076,0.002,2.964,0.202,0.002,0.097,0.005,0.01,0.006,61.96
"Chicken leg, drumstick and thigh, grilled without sauce, skin not eaten",Poultry,183,23.87,0,0,0,8.96,2.206,3.611,2.256,128,7,7,0,0,0,0,0,0.094,0.213,5.8,0.428,0,4,4,4,69.2,0.39,0,0,0.1,0.5,0,5.8,10,212,23,1.11,2.11,0.068,26.7,257,419,0,0,0,0.001,0.001,0.001,0.001,0.004,0.038,1.65,0.466,0.418,3.126,0.043,0.001,1.938,0.154,0.001,0.089,0.004,0.009,0.006,66.28
"Chicken leg, drumstick and thigh, sauteed, skin eaten",Poultry,228,22.65,0,0,0,14.52,3.737,6.07,3.356,128,14,14,0,0,0,0,14,0.087,0.19,5.479,0.391,0,4,4,4,65.8,0.41,0,0,0.2,0.51,0,5.3,10,202,21,1.06,1.93,0.064,25.2,244,414,0,0,0,0.001,0.001,0.002,0.002,0.007,0.071,2.867,0.728,0.78,5.171,0.076,0.002,2.964,0.202,0.002,0.097,0.005,0.01,0.006,61.96
"Chicken leg, drumstick and thigh, sauteed, skin not eaten",Poultry,183,23.87,0,0,0,8.96,2.206,3.611,2.256,128,7,7,0,0,0,0,0,0.094,0.213,5.8,0.428,0,4,4,4,69.2,0.39,0,0,0.1,0.5,0,5.8,10,212,23,1.11,2.11,0.068,26.7,257,419,0,0,0,0.001,0.001,0.001,0.001,0.004,0.038,1.65,0.466,0.418,3.126,0.043,0.001,1.938,0.154,0.001,0.089,0.004,0.009,0.006,66.28
"Chicken drumstick, baked, broiled, or roasted, skin eaten, from raw",Poultry,190,23.21,0,0,0,10.09,2.724,4.13,2.071,129,12,12,0,0,0,0,11,0.092,0.202,5.371,0.381,0,4,4,4,67.4,0.39,0,0,0.1,0.19,0,3.2,11,194,22,1.1,2.35,0.071,26.7,246,353,0,0,0,0,0.001,0.002,0.002,0.006,0.055,2.079,0.542,0.615,3.433,0.05,0.001,1.791,0.085,0.001,0.103,0.004,0.01,0.007,66
"Chicken drumstick, baked, broiled, or roasted, skin not eaten, from raw",Poultry,154,24.1,0,0,0,5.67,1.496,2.168,1.195,129,6,6,0,0,0,0,0,0.097,0.221,5.565,0.405,0,4,4,4,69.9,0.38,0,0,0,0.18,0,3.5,11,199,22,1.13,2.54,0.074,27.9,254,358,0,0,0,0.001,0.001,0.002,0.002,0.004,0.029,1.103,0.332,0.328,1.798,0.023,0.001,0.974,0.047,0,0.097,0.004,0.01,0.007,69.52
"Chicken drumstick, baked or broiled, skin eaten, from pre-cooked",Poultry,206,25.65,0.12,0.12,0,11.46,2.855,4.75,1.523,149,17,17,0,0,0,0,0,0.063,0.224,5.966,0.196,0,9,9,9,73.3,0.49,0,0,0,0.51,0,0,22,245,23,1.02,2.52,0.082,25.7,279,392,0,0,0,0,0,0,0,0,0.058,2.289,0.504,0.8,3.909,0.029,0,1.399,0.077,0,0.037,0,0,0,61.42
"Chicken drumstick, baked or broiled, skin not eaten, from pre-cooked",Poultry,172,27.71,0,0,0,6.76,1.573,2.827,1.029,155,10,10,0,0,0,0,0,0.065,0.229,5.745,0.184,0,9,9,9,80.1,0.47,0,0,0,0.54,0,0,20,248,23,1.05,2.86,0.089,27.4,291,403,0,0,0,0,0,0,0,0,0.033,1.262,0.278,0.507,2.302,0.018,0,0.935,0.056,0,0.038,0,0,0,64.11
"Chicken drumstick, rotisserie, skin eaten",Poultry,206,25.65,0.12,0.12,0,11.46,2.855,4.75,1.523,149,17,17,0,0,0,0,0,0.063,0.224,5.966,0.196,0,9,9,9,73.3,0.49,0,0,0,0.51,0,0,22,245,23,1.02,2.52,0.082,25.7,279,392,0,0,0,0,0,0,0,0,0.058,2.289,0.504,0.8,3.909,0.029,0,1.399,0.077,0,0.037,0,0,0,61.42
"Chicken drumstick, rotisserie, skin not eaten",Poultry,172,27.71,0,0,0,6.76,1.573,2.827,1.029,155,10,10,0,0,0,0,0,0.065,0.229,5.745,0.184,0,9,9,9,80.1,0.47,0,0,0,0.54,0,0,20,248,23,1.05,2.86,0.089,27.4,291,403,0,0,0,0,0,0,0,0,0.033,1.262,0.278,0.507,2.302,0.018,0,0.935,0.056,0,0.038,0,0,0,64.11
"Chicken drumstick, grilled without sauce, skin eaten",Poultry,204,22.7,0,0,0,11.85,2.935,4.839,2.824,126,12,12,0,0,0,0,11,0.09,0.197,5.253,0.372,0,4,4,4,65.9,0.38,0,0,0.1,0.51,0,5.3,11,190,21,1.08,2.3,0.069,26.2,240,427,0,0,0,0,0.001,0.002,0.002,0.006,0.054,2.229,0.588,0.609,4.136,0.062,0.001,2.457,0.177,0.001,0.101,0.004,0.01,0.007,64.55
"Chicken drumstick, grilled without sauce, skin not eaten",Poultry,169,23.57,0,0,0,7.53,1.734,2.92,1.967,126,6,6,0,0,0,0,0,0.095,0.216,5.442,0.396,0,4,4,4,68.4,0.37,0,0,0,0.5,0,5.6,11,194,21,1.11,2.49,0.072,27.3,249,432,0,0,0,0.001,0.001,0.002,0.002,0.004,0.029,1.275,0.383,0.328,2.537,0.036,0.001,1.657,0.139,0,0.095,0.004,0.01,0.007,67.99
"Chicken drumstick, stewed, skin eaten",Poultry,186,22.54,0,0,0,10.64,2.916,4.457,2.214,131,12,12,0,0,0,0,13,0.082,0.163,4.794,0.344,0,4,4,4,67.8,0.41,0,0,0.1,0.17,0,0.3,12,176,21,0.93,2.28,0.06,26.2,227,417,0,0,0,0.001,0.001,0.002,0.001,0.006,0.058,2.243,0.571,0.673,3.701,0.052,0.001,1.941,0.096,0.001,0.093,0.005,0.009,0.005,65.81
"Chicken drumstick, stewed, skin not eaten",Poultry,148,23.71,0,0,0,5.9,1.587,2.331,1.23,126,7,7,0,0,0,0,0,0.087,0.179,5.01,0.369,0,5,5,5,71.4,0.41,0,0,0.1,0.17,0,0.2,12,183,22,0.93,2.52,0.062,27.7,237,423,0,0,0,0.001,0.001,0.002,0,0.003,0.03,1.19,0.343,0.371,1.944,0.023,0,1.062,0.055,0,0.087,0.004,0.008,0.005,69.35
"Chicken drumstick, sauteed, skin eaten",Poultry,204,22.7,0,0,0,11.85,2.935,4.839,2.824,126,12,12,0,0,0,0,11,0.09,0.197,5.253,0.372,0,4,4,4,65.9,0.38,0,0,0.1,0.51,0,5.3,11,190,21,1.08,2.3,0.069,26.2,240,427,0,0,0,0,0.001,0.002,0.002,0.006,0.054,2.229,0.588,0.609,4.136,0.062,0.001,2.457,0.177,0.001,0.101,0.004,0.01,0.007,64.55
"Chicken drumstick, sauteed, skin not eaten",Poultry,169,23.57,0,0,0,7.53,1.734,2.92,1.967,126,6,6,0,0,0,0,0,0.095,0.216,5.442,0.396,0,4,4,4,68.4,0.37,0,0,0,0.5,0,5.6,11,194,21,1.11,2.49,0.072,27.3,249,432,0,0,0,0.001,0.001,0.002,0.002,0.004,0.029,1.275,0.383,0.328,2.537,0.036,0.001,1.657,0.139,0,0.095,0.004,0.01,0.007,67.99
"Chicken thigh, baked, broiled, or roasted, skin eaten, from raw",Poultry,231,23.12,0,0,0,14.62,4.086,6.22,2.975,132,16,16,0,0,0,0,17,0.087,0.189,5.754,0.412,0,4,4,4,67.2,0.44,0,0,0.2,0.19,0,3.3,9,215,22,1.07,1.72,0.063,25.2,252,332,0,0,0,0.001,0.001,0.002,0.002,0.008,0.083,3.162,0.779,0.907,5.192,0.074,0.002,2.653,0.129,0.003,0.096,0.006,0.01,0.005,61.59
"Chicken thigh, baked, broiled, or roasted, skin not eaten, from raw",Poultry,178,24.61,0,0,0,8.1,2.297,3.341,1.685,132,8,8,0,0,0,0,0,0.095,0.217,6.171,0.459,0,5,5,5,71.4,0.42,0,0,0.2,0.18,0,3.9,9,229,24,1.12,1.91,0.067,26.9,267,336,0,0,0,0.001,0.001,0.001,0.001,0.004,0.044,1.74,0.474,0.482,2.798,0.034,0.001,1.451,0.073,0.001,0.086,0.005,0.008,0.005,66.6
"Chicken thigh, baked or broiled, skin eaten, from pre-cooked",Poultry,226,22.51,0.12,0.12,0,15.08,3.927,6.446,2.038,127,20,20,0,0,0,0,0,0.055,0.227,5.732,0.191,0,8,8,8,62.9,0.47,0,0,0,0.46,0,0,16,218,21,0.95,1.78,0.077,22,255,335,0,0,0,0,0,0,0,0.001,0.079,3.153,0.689,1.05,5.346,0.039,0,1.89,0.105,0,0.032,0,0,0,61.41
"Chicken thigh, baked or broiled, skin not eaten, from pre-cooked",Poultry,193,24.09,0,0,0,10.74,2.777,4.727,1.621,128,13,13,0,0,0,0,0,0.055,0.234,5.441,0.176,0,8,8,8,68,0.45,0,0,0,0.48,0,0,13,216,21,0.97,2,0.084,23.1,262,335,0,0,0,0,0,0,0,0.001,0.056,2.219,0.483,0.783,3.902,0.029,0,1.49,0.089,0,0.031,0,0,0,64.35
"Chicken thigh, rotisserie, skin eaten",Poultry,226,22.51,0.12,0.12,0,15.08,3.927,6.446,2.038,127,20,20,0,0,0,0,0,0.055,0.227,5.732,0.191,0,8,8,8,62.9,0.47,0,0,0,0.46,0,0,16,218,21,0.95,1.78,0.077,22,255,335,0,0,0,0,0,0,0,0.001,0.079,3.153,0.689,1.05,5.346,0.039,0,1.89,0.105,0,0.032,0,0,0,61.41
"Chicken thigh, rotisserie, skin not eaten",Poultry,193,24.09,0,0,0,10.74,2.777,4.727,1.621,128,13,13,0,0,0,0,0,0.055,0.234,5.441,0.176,0,8,8,8,68,0.45,0,0,0,0.48,0,0,13,216,21,0.97,2,0.084,23.1,262,335,0,0,0,0,0,0,0,0.001,0.056,2.219,0.483,0.783,3.902,0.029,0,1.49,0.089,0,0.031,0,0,0,64.35
"Chicken thigh, stewed, skin eaten",Poultry,227,22.39,0,0,0,15.31,4.219,6.437,2.939,138,16,16,0,0,0,0,20,0.079,0.156,5.234,0.382,0,4,4,4,62.8,0.43,0,0,0.3,0.17,0,0.3,11,186,23,1.2,1.63,0.048,26.4,243,383,0,0,0,0.001,0.002,0.003,0.001,0.007,0.084,3.272,0.804,0.939,5.371,0.074,0.002,2.63,0.126,0.002,0.09,0.008,0.009,0.005,61.44
"Chicken thigh, stewed, skin not eaten",Poultry,175,24.36,0,0,0,8.56,2.327,3.422,1.544,140,8,8,0,0,0,0,0,0.086,0.181,5.696,0.433,0,5,5,5,67.8,0.42,0,0,0.3,0.17,0,0.3,12,199,25,1.26,1.86,0.049,29,264,384,0,0,0,0.001,0.002,0.002,0,0.004,0.045,1.767,0.479,0.502,2.856,0.032,0.001,1.33,0.063,0.001,0.079,0.009,0.007,0.004,66.34
"Chicken thigh, grilled without sauce, skin eaten",Poultry,243,22.61,0,0,0,16.29,4.268,6.883,3.709,129,16,16,0,0,0,0,17,0.086,0.185,5.628,0.402,0,4,4,4,65.7,0.43,0,0,0.2,0.51,0,5.4,9,210,21,1.05,1.68,0.061,24.6,246,406,0,0,0,0.001,0.001,0.002,0.002,0.008,0.082,3.289,0.82,0.894,5.856,0.086,0.002,3.3,0.219,0.003,0.094,0.006,0.01,0.005,60.24
"Chicken thigh, grilled without sauce, skin not eaten",Poultry,192,24.07,0,0,0,9.91,2.518,4.068,2.447,129,8,8,0,0,0,0,0,0.093,0.212,6.036,0.449,0,5,5,5,69.8,0.41,0,0,0.2,0.5,0,6,9,224,23,1.1,1.87,0.065,26.3,262,410,0,0,0,0.001,0.001,0.001,0.001,0.004,0.044,1.898,0.522,0.478,3.515,0.047,0.001,2.124,0.164,0.001,0.085,0.005,0.008,0.005,65.14
"Chicken thigh, sauteed, skin eaten",Poultry,243,22.61,0,0,0,16.29,4.268,6.883,3.709,129,16,16,0,0,0,0,17,0.086,0.185,5.628,0.402,0,4,4,4,65.7,0.43,0,0,0.2,0.51,0,5.4,9,210,21,1.05,1.68,0.061,24.6,246,406,0,0,0,0.001,0.001,0.002,0.002,0.008,0.082,3.289,0.82,0.894,5.856,0.086,0.002,3.3,0.219,0.003,0.094,0.006,0.01,0.005,60.24
"Chicken thigh, sauteed, skin not eaten",Poultry,192,24.07,0,0,0,9.91,2.518,4.068,2.447,129,8,8,0,0,0,0,0,0.093,0.212,6.036,0.449,0,5,5,5,69.8,0.41,0,0,0.2,0.5,0,6,9,224,23,1.1,1.87,0.065,26.3,262,410,0,0,0,0.001,0.001,0.001,0.001,0.004,0.044,1.898,0.522,0.478,3.515,0.047,0.001,2.124,0.164,0.001,0.085,0.005,0.008,0.005,65.14
"Chicken wing, baked, broiled, or roasted, from raw",Poultry,252,23.6,0,0,0,16.74,4.937,7.645,3.562,140,12,12,0,0,0,0,0,0.064,0.152,6.27,0.554,0,9,9,9,110.4,0.35,0,0,0.2,0.68,0,0.3,18,146,19,0.83,1.63,0.041,25.3,210,404,0,0,0,0,0,0,0.007,0.008,0.097,3.852,0.92,1.106,6.385,0.1,0.002,3.19,0.164,0.004,0.097,0.004,0.012,0.006,58.93
"Chicken wing, baked or broiled, from pre-cooked",Poultry,257,23.42,0.6,0.6,0,18.04,4.627,7.332,2.177,129,26,26,0,0,0,0,0,0.078,0.161,7.454,0.212,0,8,8,8,58.2,0.45,0,0,0,0.12,0,0,33,251,23,0.93,1.57,0.057,38.2,285,579,0,0,0,0,0,0,0,0,0.094,3.7,0.823,1.164,6.098,0.043,0,2.02,0.106,0,0.028,0,0,0,57.23
"Chicken wing, rotisserie",Poultry,257,23.42,0.6,0.6,0,18.04,4.627,7.332,2.177,129,26,26,0,0,0,0,0,0.078,0.161,7.454,0.212,0,8,8,8,58.2,0.45,0,0,0,0.12,0,0,33,251,23,0.93,1.57,0.057,38.2,285,579,0,0,0,0,0,0,0,0,0.094,3.7,0.823,1.164,6.098,0.043,0,2.02,0.106,0,0.028,0,0,0,57.23
"Chicken wing, stewed",Poultry,247,22.6,0,0,0,16.69,4.673,6.548,3.552,69,40,40,0,0,0,0,0,0.04,0.102,4.584,0.218,0,3,3,3,50.9,0.18,0,0,0.1,0.27,0,0.2,12,120,16,1.12,1.62,0.046,18.4,138,374,0,0,0,0,0,0,0,0.02,0.139,3.472,0.933,0.883,5.397,0.188,0,3.056,0.129,0,0.129,0.02,0.03,0.05,61.69
"Chicken wing, grilled without sauce",Poultry,265,23.13,0,0,0,18.39,5.109,8.292,4.289,137,12,12,0,0,0,0,0,0.063,0.149,6.144,0.542,0,9,9,9,108.2,0.34,0,0,0.2,0.99,0,2.5,18,143,18,0.82,1.6,0.04,24.8,206,402,0,0,0,0,0,0,0.007,0.008,0.096,3.971,0.959,1.091,7.035,0.112,0.002,3.831,0.253,0.004,0.095,0.004,0.012,0.006,57.75
"Chicken wing, sauteed",Poultry,265,23.13,0,0,0,18.39,5.109,8.292,4.289,137,12,12,0,0,0,0,0,0.063,0.149,6.144,0.542,0,9,9,9,108.2,0.34,0,0,0.2,0.99,0,2.5,18,143,18,0.82,1.6,0.04,24.8,206,402,0,0,0,0,0,0,0.007,0.008,0.096,3.971,0.959,1.091,7.035,0.112,0.002,3.831,0.253,0.004,0.095,0.004,0.012,0.006,57.75
"Chicken, back",Poultry,298,25.73,0,0,0,20.8,5.772,8.221,4.582,87,104,104,0,0,0,0,0,0.06,0.193,6.662,0.268,0,6,6,6,61.8,0.27,0,0,0.1,0.27,0,4.9,21,153,20,1.41,2.23,0.075,22.3,208,409,0,0,0,0,0,0,0,0.04,0.159,4.234,1.17,1.14,6.783,0.198,0,4.006,0.179,0,0.169,0.02,0.03,0.06,53.08
"Chicken, neck or ribs",Poultry,245,19.45,0,0,0,17.95,4.958,7.16,3.907,69,48,48,0,0,0,0,0,0.04,0.246,3.291,0.099,0,3,3,3,48.9,0.14,0,0,0.1,0.27,0,3.9,27,121,13,2.28,2.7,0.096,17.2,107,374,0,0,0,0,0,0,0,0.03,0.139,3.719,0.952,1.012,5.871,0.198,0,3.451,0.149,0,0.119,0.02,0.02,0.04,61.22
"Chicken, tail",Poultry,454,20.36,0,0,0,40.68,11.42,17.03,8.57,83,78,78,0,0,0,0,0,0.036,0.127,5.581,0.1,0,2,2,2,45.7,0.2,0,0,0.2,0.4,0,2.4,14,125,15,1.51,1.23,0.064,20,136,65,0,0,0,0,0,0,0,0.04,0.33,8.74,2.02,2.4,13.92,0.53,0,7.83,0.33,0,0.11,0.02,0.01,0.04,40.29
Chicken skin,Poultry,450,20.19,0,0,0,40.34,11.325,16.888,8.499,82,77,77,0,0,0,0,0,0.036,0.126,5.535,0.099,0,2,2,2,45.3,0.2,0,0,0.2,0.4,0,2.4,14,124,15,1.5,1.22,0.063,19.8,135,387,0,0,0,0,0,0,0,0.04,0.327,8.667,2.003,2.38,13.804,0.526,0,7.765,0.327,0,0.109,0.02,0.01,0.04,39.96
Chicken feet,Poultry,215,19.4,0.2,0,0,14.6,3.92,5.5,2.98,84,30,30,0,0,0,0,0,0.06,0.2,0.4,0.01,0,86,86,86,13.3,0.47,0,0,0.2,0.27,0,0.2,88,83,5,0.91,0.69,0.102,3.6,31,67,0,0,0,0,0,0,0,0.014,0.115,2.908,0.785,0.742,4.53,0.158,0,2.57,0.108,0,0,0.014,0.022,0.043,65.8
"Chicken, ground",Poultry,201,27.14,0,0,0,10.31,2.647,3.429,2.893,92,24,24,0,0,0,0,0,0.076,0.209,8.651,0.628,0,7,7,7,77.5,1.33,0,0,0.2,0.11,0,0,28,252,30,1.51,3.08,0.15,30.8,292,400,0,0,0,0.003,0.001,0.002,0.004,0.014,0.087,1.76,0.723,0.296,3.054,0.037,0.002,2.535,0.143,0.001,0.126,0.01,0.012,0.009,61.56
"Turkey, light meat, skin not eaten",Poultry,139,28.81,0,0,0,2.06,0.588,0.621,0.524,76,3,3,0,0,0,0,0,0.036,0.204,11.652,0.763,0,10,10,10,78.1,0.82,0,0,0.3,0.06,0,0,11,237,31,0.65,1.63,0.062,29.9,247,467,0,0,0,0,0,0,0.004,0.005,0.018,0.369,0.179,0.056,0.551,0.008,0,0.427,0.02,0,0.044,0.004,0.005,0.004,68.09
"Turkey, light meat, skin eaten",Poultry,169,28.28,0.03,0,0,5.55,1.586,1.963,1.579,84,10,10,0,0,0,0,0,0.035,0.211,11.42,0.724,0,9,9,9,77.7,0.9,0,0,0.4,0.07,0,0,12,236,31,0.73,1.66,0.065,29.1,247,468,0,0,0,0,0,0,0.005,0.017,0.056,1.066,0.41,0.19,1.729,0.026,0.001,1.392,0.081,0,0.057,0.005,0.006,0.005,65.03
"Turkey, light meat, roasted, skin not eaten",Poultry,139,28.81,0,0,0,2.06,0.588,0.621,0.524,76,3,3,0,0,0,0,0,0.036,0.204,11.652,0.763,0,10,10,10,78.1,0.82,0,0,0.3,0.06,0,0,11,237,31,0.65,1.63,0.062,29.9,247,467,0,0,0,0,0,0,0.004,0.005,0.018,0.369,0.179,0.056,0.551,0.008,0,0.427,0.02,0,0.044,0.004,0.005,0.004,68.09
"Turkey, light meat, roasted, skin eaten",Poultry,169,28.28,0.03,0,0,5.55,1.586,1.963,1.579,84,10,10,0,0,0,0,0,0.035,0.211,11.42,0.724,0,9,9,9,77.7,0.9,0,0,0.4,0.07,0,0,12,236,31,0.73,1.66,0.065,29.1,247,468,0,0,0,0,0,0,0.005,0.017,0.056,1.066,0.41,0.19,1.729,0.026,0.001,1.392,0.081,0,0.057,0.005,0.006,0.005,65.03
"Turkey, dark meat, roasted, skin not eaten",Poultry,167,26.94,0,0,0,5.98,1.792,2.044,1.648,119,5,5,0,0,0,0,0,0.058,0.358,6.677,0.433,0,9,9,9,93.1,1.64,0,0,0.3,0.07,0,0,17,209,26,1.3,3.44,0.126,31.1,225,458,0,0,0,0,0,0,0.006,0.021,0.06,1.168,0.501,0.185,1.817,0.026,0,1.424,0.074,0,0.086,0.012,0.008,0.005,65.24
"Turkey, dark meat, roasted, skin eaten",Poultry,202,26.46,0.05,0,0,10.16,2.978,3.663,2.921,125,15,15,0,0,0,0,0,0.055,0.347,6.973,0.421,0,9,9,9,90.7,1.64,0,0,0.4,0.08,0,0,17,213,26,1.31,3.26,0.122,29.9,227,461,0,0,0,0,0,0,0.007,0.035,0.106,2.001,0.769,0.349,3.235,0.048,0.001,2.591,0.15,0.001,0.099,0.012,0.009,0.006,61.49
"Turkey, light and dark meat, roasted, skin not eaten",Poultry,151,27.99,0,0,0,3.76,1.109,1.238,1.011,94,4,4,0,0,0,0,0,0.046,0.271,9.495,0.619,0,9,9,9,84.6,1.18,0,0,0.3,0.06,0,0,14,225,28,0.93,2.41,0.09,30.4,237,464,0,0,0,0,0,0,0.005,0.012,0.036,0.715,0.319,0.112,1.1,0.016,0,0.859,0.044,0,0.062,0.008,0.006,0.004,66.86
"Turkey, light and dark meat, roasted, skin eaten",Poultry,183,27.48,0.04,0,0,7.54,2.186,2.694,2.156,102,12,12,0,0,0,0,0,0.044,0.271,9.447,0.59,0,9,9,9,83.4,1.23,0,0,0.4,0.07,0,0,15,226,29,0.99,2.37,0.09,29.5,238,465,0,0,0,0,0,0,0.006,0.025,0.077,1.469,0.565,0.258,2.377,0.036,0.001,1.907,0.11,0,0.076,0.008,0.008,0.005,63.51
"Turkey, light or dark meat, stewed, skin not eaten",Poultry,158,31.18,0.19,0.1,0,2.66,0.632,0.657,0.566,92,12,12,0,0,0,0,0,0.069,0.264,11.156,0.898,0,10,10,10,82.9,1.71,0,0,0.3,0.12,0,0,16,262,37,1.18,2.53,0.109,31.1,324,610,0,0,0,0,0,0,0.004,0.008,0.018,0.399,0.186,0.059,0.581,0.008,0,0.467,0.023,0,0.043,0,0.004,0.003,64.92
"Turkey light or dark meat, stewed, skin eaten",Poultry,204,30.25,0.14,0.07,0,8.52,1.963,3.172,2.56,98,17,17,0,0,0,0,1,0.037,0.232,6.931,0.462,0,6,6,6,58.5,0.67,0,0,0.4,0.13,0,0,13,177,22,0.96,2.18,0.088,29.9,174,576,0,0,0,0,0,0,0.005,0.026,0.069,1.323,0.493,0.306,2.791,0.042,0.005,2.278,0.137,0,0.084,0.004,0.009,0.006,60.16
"Turkey, light or dark meat, smoked, skin eaten",Poultry,208,28.1,0,0,0,9.7,2.831,3.18,2.473,82,0,0,0,0,0,0,0,0.06,0.18,5.09,0.41,0,7,7,7,69.9,0.35,0,0,0,0.34,0,0,26,203,25,1.79,2.96,0.093,30.3,280,996,0,0,0,0,0,0,0,0.01,0.07,1.725,0.698,0.518,2.582,0.02,0.01,2.054,0.11,0,0.199,0,0.03,0.04,61.7
"Turkey, light or dark meat, smoked, skin not eaten",Poultry,162,29.3,0,0,0,5,1.368,1.046,1.408,76,0,0,0,0,0,0,0,0.06,0.18,5.44,0.46,0,7,7,7,82.3,0.37,0,0,0.1,0.33,0,0,25,213,26,1.78,3.1,0.094,43,298,996,0,0,0,0,0,0,0,0.02,0.03,0.825,0.493,0.151,0.855,0.02,0.02,1.087,0.04,0,0.211,0,0.03,0.04,64.9
"Turkey, drumstick, cooked, skin not eaten",Poultry,144,28.52,0,0,0,3.38,0.997,1.105,0.906,88,4,4,0,0,0,0,0,0.042,0.247,9.992,0.675,0,9,9,9,98.6,1.8,0,0,0.3,0.06,0,0,12,221,29,0.82,2.27,0.084,30.4,240,455,0,0,0,0,0,0,0.005,0.01,0.032,0.641,0.289,0.1,0.982,0.014,0,0.766,0.038,0,0.058,0.007,0.006,0.004,66.97
"Turkey, drumstick, cooked, skin eaten",Poultry,206,27.64,0,0,0,9.74,3.035,2.846,2.697,84,0,0,0,0,0,0,0,0.06,0.239,3.531,0.327,0,9,9,9,70.2,0.36,0,0,0.1,0.62,0,0,32,197,23,2.28,4.23,0.153,37.5,278,399,0,0,0,0,0,0,0,0.01,0.069,1.755,0.813,0.456,2.321,0.03,0.02,2.251,0.109,0,0.238,0,0.03,0.05,60.68
"Turkey, drumstick, roasted, skin not eaten",Poultry,144,28.52,0,0,0,3.38,0.997,1.105,0.906,88,4,4,0,0,0,0,0,0.042,0.247,9.992,0.675,0,9,9,9,98.6,1.8,0,0,0.3,0.06,0,0,12,221,29,0.82,2.27,0.084,30.4,240,455,0,0,0,0,0,0,0.005,0.01,0.032,0.641,0.289,0.1,0.982,0.014,0,0.766,0.038,0,0.058,0.007,0.006,0.004,66.97
"Turkey, drumstick, roasted, skin eaten",Poultry,203,26.86,0,0,0,10.07,3.063,3.189,2.824,93,5,5,0,0,0,0,0,0.057,0.266,4.655,0.356,0,9,9,9,76,0.79,0,0,0.2,0.43,0,0,27,202,23,1.87,3.86,0.141,34.9,262,442,0,0,0,0,0,0,0.002,0.019,0.084,1.872,0.809,0.426,2.688,0.037,0.013,2.414,0.126,0,0.191,0.004,0.023,0.035,61.18
"Turkey, drumstick, smoked, skin eaten",Poultry,200,27.9,0,0,0,9.8,3.054,2.864,2.715,85,0,0,0,0,0,0,0,0.06,0.24,3.56,0.33,0,9,9,9,70.9,0.36,0,0,0.1,0.62,0,0,32,199,23,2.3,4.27,0.154,38.3,280,996,0,0,0,0,0,0,0,0.01,0.07,1.767,0.818,0.459,2.335,0.03,0.02,2.266,0.11,0,0.24,0,0.03,0.05,61.2
"Turkey, thigh, cooked, skin eaten",Poultry,182,24.36,0.27,0,0,9.26,2.831,3.434,2.795,112,13,13,0,0,0,0,1,0.049,0.304,6.535,0.433,0,8,8,8,93.3,1.65,0,0,0.3,0.07,0,0,9,194,22,1.34,3.06,0.1,28.1,256,457,0,0,0,0.001,0,0,0.006,0.029,0.093,1.925,0.716,0.363,2.987,0.045,0.008,2.468,0.152,0.001,0.11,0.007,0.01,0.006,64.27
